Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell(Total),Net Buy Sell Foreign,Trade Value
MBSS,08/04/2020,392.00,404.00,384.00,394.00,1059400.00,-81764600.00,0.00,415326592.00
MBTO,08/04/2020,68.00,68.00,67.00,67.00,1500.00,-74700.00,0.00,101900.00
MBX,08/04/2020,1388.30,1409.34,1388.39,1409.34,0.00,0.00,0.00,0.00
MCAS,08/04/2020,2040.00,2260.00,2030.00,2250.00,8788800.00,3796549888.00,6749737984.00,18922379264.00
MCOR,08/04/2020,129.00,134.00,128.00,131.00,5254400.00,12233000.00,1290000.00,688058816.00
MDIA,08/04/2020,50.00,50.00,50.00,50.00,1200.00,60000.00,0.00,60000.00
MDKA,08/04/2020,1750.00,1815.00,1745.00,1810.00,111542800.00,2447921920.00,4489893376.00,199073447936.00
MDKI,08/04/2020,157.00,157.00,140.00,149.00,56800.00,3857300.00,0.00,8357700.00
MDLN,08/04/2020,51.00,52.00,50.00,51.00,16474000.00,-75026400.00,-54957900.00,837965376.00
MDRN,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
MEDC,08/04/2020,458.00,458.00,444.00,452.00,55444200.00,3000012288.00,5054363136.00,24902803456.00
MEGA,08/04/2020,7900.00,7900.00,7350.00,7350.00,2400.00,8760000.00,0.00,17910000.00
MERK,08/04/2020,3430.00,3480.00,3430.00,3440.00,62300.00,48932000.00,0.00,215330000.00
META,08/04/2020,106.00,110.00,103.00,109.00,419300.00,17995400.00,0.00,44346000.00
MFIN,08/04/2020,910.00,935.00,900.00,935.00,38600.00,-8525500.00,-3331000.00,35590500.00
MFMI,08/04/2020,520.00,520.00,500.00,515.00,25700.00,-811000.00,0.00,13146000.00
MGNA,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
MGRO,08/04/2020,760.00,775.00,755.00,765.00,2688200.00,727889024.00,0.00,2060258944.00
MICE,08/04/2020,296.00,300.00,296.00,298.00,9900.00,2580000.00,0.00,2937600.00
MIDI,08/04/2020,1395.00,1395.00,1395.00,1395.00,200.00,-279000.00,0.00,279000.00
MIKA,08/04/2020,2400.00,2420.00,2340.00,2400.00,35032900.00,-5409676800.00,-14642388992.00,83818766336.00
MINA,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,0.00,5000.00
MINING,08/04/2020,1339.65,1360.33,1341.04,1359.21,981668800.00,10480046080.00,46831992832.00,595801931776.00
MIRA,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,0.00,5000.00
MISC-IND,08/04/2020,879.86,893.14,879.98,893.14,96022000.00,5000786944.00,-31356583936.00,186856947712.00
MITI,08/04/2020,51.00,51.00,51.00,51.00,0.00,0.00,0.00,0.00
MKNT,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,0.00,5000.00
MKPI,08/04/2020,14625.00,14625.00,14625.00,14625.00,100.00,1462500.00,0.00,1462500.00
MLBI,08/04/2020,9575.00,9675.00,9575.00,9675.00,42800.00,71655000.00,86372496.00,412040000.00
MLIA,08/04/2020,525.00,525.00,500.00,525.00,6059000.00,2890679552.00,-86110496.00,3159618560.00
MLPL,08/04/2020,51.00,51.00,50.00,51.00,2811300.00,-7397400.00,0.00,141884400.00
MLPT,08/04/2020,560.00,580.00,555.00,560.00,196900.00,-44335000.00,0.00,111120000.00
MMLP,08/04/2020,186.00,189.00,186.00,186.00,10992000.00,-992554304.00,-131115904.00,2066304896.00
MNC36,08/04/2020,281.63,286.55,281.66,286.55,2120187776.00,1323299110912.00,46392795136.00,5258418847744.00
MNCN,08/04/2020,815.00,860.00,795.00,840.00,143845104.00,6923897856.00,-2558201088.00,119642144768.00
MOLI,08/04/2020,900.00,900.00,900.00,900.00,10000.00,9000000.00,0.00,9000000.00
MPMX,08/04/2020,472.00,480.00,470.00,480.00,675100.00,-2161400.00,2350000.00,319187392.00
MPOW,08/04/2020,53.00,53.00,51.00,52.00,29300.00,493700.00,0.00,1513700.00
MPPA,08/04/2020,107.00,107.00,103.00,104.00,915500.00,29189400.00,19832500.00,96209600.00
MPRO,08/04/2020,840.00,840.00,840.00,840.00,0.00,0.00,0.00,0.00
MRAT,08/04/2020,136.00,140.00,136.00,139.00,58300.00,7412600.00,0.00,8106800.00
MREI,08/04/2020,4480.00,4480.00,4480.00,4480.00,0.00,0.00,0.00,0.00
MSIN,08/04/2020,258.00,270.00,252.00,270.00,11148400.00,-795842176.00,403065408.00,2905956608.00
MSKY,08/04/2020,1140.00,1140.00,1140.00,1140.00,0.00,0.00,0.00,0.00
MTDL,08/04/2020,1410.00,1465.00,1410.00,1460.00,1664200.00,1360224000.00,-397763488.00,2428662016.00
MTFN,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,-5000.00,5000.00
MTLA,08/04/2020,390.00,390.00,390.00,390.00,0.00,0.00,0.00,0.00
MTPS,08/04/2020,131.00,135.00,128.00,130.00,182900.00,-7744500.00,2798400.00,23855300.00
MTRA,08/04/2020,244.00,244.00,244.00,244.00,0.00,0.00,0.00,0.00
MTSM,08/04/2020,199.00,216.00,199.00,216.00,300.00,62300.00,0.00,62300.00
MTWI,08/04/2020,53.00,53.00,50.00,52.00,56100.00,-2774400.00,0.00,2805600.00
MYOH,08/04/2020,1120.00,1125.00,1095.00,1125.00,216600.00,39712000.00,-115445000.00,242760000.00
MYOR,08/04/2020,2290.00,2330.00,2250.00,2300.00,4262000.00,957849984.00,146884000.00,9804695552.00
MYRX,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
MYRXP,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
MYTX,08/04/2020,55.00,55.00,51.00,51.00,53300.00,-2707700.00,0.00,2718700.00
NAGA,08/22/2019,236.00,236.00,236.00,236.00,0.00,0.00,0.00,0.00
NASA,08/04/2020,104.00,104.00,104.00,104.00,0.00,0.00,0.00,0.00
NATO,08/04/2020,252.00,302.00,238.00,250.00,1985600.00,-91271200.00,-42139400.00,523822016.00
NELY,08/04/2020,123.00,123.00,123.00,123.00,100.00,-12300.00,0.00,12300.00
NFCX,08/04/2020,1900.00,1910.00,1860.00,1895.00,923200.00,1711449984.00,-1703911040.00,1762776960.00
NICK,08/04/2020,308.00,308.00,308.00,308.00,0.00,0.00,0.00,0.00
NIKL,08/04/2020,810.00,865.00,805.00,810.00,5494100.00,-792489472.00,54721500.00,4528183296.00
NIPS,08/04/2020,282.00,282.00,282.00,282.00,0.00,0.00,0.00,0.00
NIRO,08/04/2020,142.00,149.00,142.00,143.00,21200.00,3041900.00,2842400.00,3041900.00
NISP,08/04/2020,695.00,700.00,690.00,695.00,71200.00,-16513500.00,0.00,49509500.00
NOBU,08/04/2020,645.00,770.00,635.00,770.00,2100.00,-1202500.00,0.00,1356500.00
NRCA,08/04/2020,314.00,314.00,312.00,312.00,49500.00,-5646000.00,0.00,15445200.00
NUSA,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,0.00,5000.00
NZIA,08/04/2020,176.00,180.00,173.00,180.00,44200.00,1083300.00,0.00,7756700.00
OASA,08/04/2020,350.00,430.00,350.00,430.00,1400.00,503000.00,0.00,503000.00
OCAP,08/04/2020,174.00,174.00,174.00,174.00,0.00,0.00,0.00,0.00
OKAS,08/04/2020,74.00,83.00,74.00,80.00,1642900.00,-55743200.00,0.00,132351000.00
OMRE,08/04/2020,316.00,316.00,316.00,316.00,0.00,0.00,0.00,0.00
OPMS,08/04/2020,129.00,129.00,126.00,126.00,633500.00,-55484700.00,0.00,80128896.00
PADI,08/04/2020,50.00,50.00,50.00,50.00,104500.00,5225000.00,0.00,5225000.00
PALM,08/04/2020,230.00,242.00,230.00,236.00,125000.00,-2021600.00,0.00,29817600.00
PAMG,08/04/2020,72.00,80.00,71.00,75.00,52099900.00,-788149376.00,0.00,4011649280.00
PANI,08/04/2020,58.00,62.00,55.00,55.00,63100.00,-2419600.00,0.00,3747000.00
PANR,08/04/2020,82.00,85.00,79.00,81.00,381800.00,14938800.00,0.00,31581400.00
PANS,08/04/2020,780.00,815.00,770.00,805.00,230200.00,48425000.00,0.00,182343008.00
PBID,08/04/2020,865.00,900.00,860.00,880.00,126700.00,-25078000.00,0.00,110095000.00
PBRX,08/04/2020,246.00,258.00,238.00,246.00,138800.00,7584400.00,0.00,33971200.00
PBSA,08/04/2020,700.00,705.00,690.00,690.00,24100.00,3566000.00,0.00,16857000.00
PCAR,08/04/2020,386.00,386.00,386.00,386.00,0.00,0.00,0.00,0.00
PDES,08/04/2020,470.00,470.00,470.00,470.00,0.00,0.00,0.00,0.00
PEFINDO25,08/04/2020,260.42,263.89,258.98,262.55,1279226112.00,33812285440.00,-53514792960.00,638153654272.00
PEGE,08/04/2020,142.00,142.00,142.00,142.00,100.00,-14200.00,0.00,14200.00
PEHA,08/04/2020,1400.00,1425.00,1310.00,1390.00,325900.00,84239504.00,10000.00,442721504.00
PGAS,08/04/2020,1190.00,1230.00,1190.00,1205.00,105825800.00,-5876702720.00,-17739028480.00,128021078016.00
PGJO,08/04/2020,72.00,72.00,60.00,60.00,47000.00,-1607800.00,0.00,2877400.00
PGLI,08/04/2020,190.00,220.00,175.00,178.00,9900.00,895300.00,0.00,1877900.00
PGUN,08/04/2020,356.00,374.00,356.00,366.00,5648800.00,901436032.00,0.00,2054808832.00
PICO,08/04/2020,182.00,189.00,177.00,177.00,95500.00,-5230300.00,0.00,17118900.00
PJAA,08/04/2020,515.00,520.00,500.00,520.00,44600.00,-6961000.00,0.00,22865000.00
PKPK,08/04/2020,51.00,51.00,50.00,50.00,115200.00,-5729900.00,0.00,5760100.00
PLAS,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
PLIN,08/04/2020,2560.00,2650.00,2520.00,2520.00,2900.00,2861000.00,0.00,7437000.00
PMJS,08/04/2020,128.00,129.00,126.00,126.00,18300.00,-1061200.00,0.00,2316400.00
PNBN,08/04/2020,770.00,800.00,765.00,785.00,10772500.00,41252000.00,9997500.00,8460440064.00
PNBS,08/04/2020,50.00,50.00,50.00,50.00,2300.00,115000.00,0.00,115000.00
PNIN,08/04/2020,725.00,725.00,710.00,710.00,67600.00,-42589500.00,-33586000.00,48009500.00
PNLF,08/04/2020,177.00,179.00,176.00,178.00,17514400.00,355871392.00,-357679488.00,3110717696.00
PNSE,08/04/2020,915.00,915.00,915.00,915.00,0.00,0.00,0.00,0.00
POLA,08/04/2020,52.00,52.00,50.00,51.00,24100.00,-22300.00,0.00,1237700.00
POLI,08/04/2020,1080.00,1180.00,1080.00,1170.00,20500.00,20178500.00,0.00,22910500.00
POLL,08/04/2020,3990.00,4000.00,3730.00,3840.00,85700.00,-28293000.00,-81239000.00,327895008.00
POLU,08/04/2020,1030.00,1030.00,950.00,950.00,9100.00,-5749500.00,0.00,8695500.00
POLY,08/04/2020,50.00,50.00,50.00,50.00,5200.00,260000.00,0.00,260000.00
POOL,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
PORT,08/04/2020,470.00,470.00,470.00,470.00,0.00,0.00,0.00,0.00
POSA,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
POWR,08/04/2020,650.00,655.00,630.00,640.00,28165500.00,668662016.00,-5934082048.00,18078814208.00
PPGL,08/04/2020,192.00,206.00,192.00,200.00,40010400.00,3080271616.00,0.00,7945992192.00
PPRE,08/04/2020,163.00,169.00,160.00,168.00,8764600.00,-566803008.00,84121200.00,1443731968.00
PPRO,08/04/2020,50.00,50.00,50.00,50.00,1085100.00,54255000.00,3280000.00,54255000.00
PRAS,08/04/2020,128.00,128.00,115.00,115.00,2100.00,-35800.00,0.00,242800.00
PRDA,08/04/2020,3050.00,3050.00,3050.00,3050.00,0.00,0.00,0.00,0.00
PRIM,08/04/2020,258.00,288.00,250.00,276.00,4200.00,-499600.00,0.00,1099600.00
PROPERTY,08/04/2020,289.41,290.40,287.25,288.81,1290695296.00,105844965376.00,-32912281600.00,466507464704.00
PSAB,08/04/2020,252.00,264.00,246.00,262.00,140690704.00,339904992.00,-918770816.00,36251578368.00
PSDN,08/04/2020,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00
PSGO,08/04/2020,103.00,105.00,102.00,103.00,20400.00,-562100.00,0.00,2095100.00
PSKT,08/04/2020,50.00,50.00,50.00,50.00,100.00,5000.00,0.00,5000.00
PSSI,08/04/2020,162.00,167.00,161.00,166.00,159000.00,-4170700.00,0.00,25842300.00
PTBA,08/04/2020,2000.00,2020.00,1975.00,2010.00,53867700.00,5974962176.00,26731786240.00,107810496512.00
PTIS,08/04/2020,164.00,164.00,164.00,164.00,0.00,0.00,0.00,0.00
PTPP,08/04/2020,910.00,920.00,880.00,890.00,61910800.00,-3355034624.00,-11636142080.00,55411732480.00
PTPW,08/04/2020,1560.00,1680.00,1555.00,1655.00,18257500.00,8765746176.00,1625011968.00,29987051520.00
PTRO,08/04/2020,1835.00,1875.00,1765.00,1855.00,1437000.00,-169615008.00,0.00,2624154112.00
PTSN,08/04/2020,199.00,212.00,199.00,204.00,3577500.00,4419300.00,270600.00,733232320.00
PTSP,08/04/2020,5300.00,5300.00,5300.00,5300.00,0.00,0.00,0.00,0.00
PUDP,08/04/2020,234.00,234.00,234.00,234.00,0.00,0.00,0.00,0.00
PURA,08/04/2020,135.00,136.00,130.00,135.00,66380600.00,1212336384.00,304202688.00,8849026048.00
PURE,08/04/2020,103.00,118.00,103.00,115.00,4408000.00,3001400.00,-880000.00,498888800.00
PWON,08/04/2020,404.00,404.00,394.00,398.00,91858200.00,-8928175104.00,1778227584.00,36567216128.00
PYFA,08/04/2020,780.00,800.00,775.00,775.00,1681100.00,129997504.00,5890000.00,1308233472.00
PZZA,08/04/2020,585.00,600.00,585.00,595.00,1340400.00,91491000.00,-269088512.00,796556032.00
R-ABFII,08/04/2020,28600.00,28600.00,28600.00,28600.00,0.00,0.00,0.00,0.00
R-LQ45X,08/04/2020,860.00,860.00,855.00,859.00,2000.00,1032500.00,0.00,1718900.00
RAJA,08/04/2020,107.00,114.00,107.00,110.00,11499700.00,30055200.00,122000.00,1264638976.00
RALS,08/04/2020,530.00,545.00,505.00,535.00,28089200.00,-2731802112.00,-7930026496.00,14873636864.00
RANC,08/04/2020,478.00,488.00,466.00,466.00,5233300.00,-247391808.00,-712008832.00,2464779776.00
RBMS,08/04/2020,50.00,50.00,50.00,50.00,2000.00,100000.00,0.00,100000.00
RDTX,08/04/2020,5400.00,5750.00,5400.00,5750.00,33500.00,192450000.00,0.00,192450000.00
REAL,08/04/2020,50.00,50.00,50.00,50.00,279900.00,13995000.00,0.00,13995000.00
RELI,08/04/2020,348.00,350.00,340.00,340.00,41000.00,-14030400.00,0.00,14100000.00
RICY,08/04/2020,88.00,89.00,83.00,89.00,260800.00,-5726100.00,0.00,21784700.00
RIGS,08/04/2020,214.00,226.00,214.00,226.00,200.00,1200.00,0.00,44000.00
RIMO,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
RISE,08/04/2020,408.00,418.00,408.00,416.00,417800.00,142675008.00,1742400.00,172899008.00
RMBA,08/04/2020,226.00,238.00,224.00,238.00,63200.00,13582000.00,0.00,14178800.00
RODA,08/04/2020,50.00,50.00,50.00,50.00,150300.00,-7515000.00,0.00,7515000.00
RONY,08/04/2020,138.00,138.00,131.00,134.00,5500.00,-88300.00,0.00,731300.00
ROTI,08/04/2020,1220.00,1220.00,1180.00,1200.00,901400.00,-752504512.00,-412262496.00,1087515520.00
RUIS,08/04/2020,165.00,165.00,165.00,165.00,12700.00,-1897500.00,0.00,2095500.00
SAFE,08/04/2020,194.00,194.00,183.00,194.00,291200.00,56313700.00,0.00,56350300.00
SAME,08/04/2020,75.00,80.00,75.00,75.00,17388000.00,-773061120.00,1560000.00,1311939840.00
SAMF,08/04/2020,376.00,376.00,352.00,376.00,19700.00,-6719800.00,0.00,6945400.00
SAPX,08/04/2020,2250.00,2250.00,2250.00,2250.00,0.00,0.00,0.00,0.00
SATU,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
SBAT,08/04/2020,175.00,185.00,173.00,185.00,8083400.00,635925632.00,0.00,1453224448.00
SCBD,04/17/2020,2700.00,2700.00,2700.00,2700.00,0.00,0.00,0.00,0.00
SCCO,08/04/2020,9800.00,9800.00,9800.00,9800.00,200.00,1960000.00,0.00,1960000.00
SCMA,08/04/2020,1225.00,1250.00,1215.00,1230.00,22453900.00,-5656350720.00,-388293504.00,27739475968.00
SCPI,08/04/2020,29000.00,29000.00,29000.00,29000.00,0.00,0.00,0.00,0.00
SDMU,08/04/2020,50.00,50.00,50.00,50.00,1000.00,50000.00,0.00,50000.00
SDPC,08/04/2020,113.00,115.00,108.00,111.00,226100.00,-6043600.00,0.00,24934400.00
SDRA,08/04/2020,790.00,800.00,790.00,800.00,2500.00,1995000.00,1995000.00,1995000.00
SFAN,08/04/2020,980.00,980.00,975.00,975.00,5100.00,-4777000.00,0.00,4973000.00
SGRO,08/04/2020,1775.00,1800.00,1775.00,1795.00,60500.00,75807504.00,-15904000.00,108692496.00
SHID,08/04/2020,4000.00,4000.00,4000.00,4000.00,0.00,0.00,0.00,0.00
SHIP,08/04/2020,590.00,590.00,575.00,575.00,460000.00,181179008.00,0.00,267667008.00
SIAP,06/14/2019,83.00,83.00,83.00,83.00,0.00,0.00,0.00,0.00
SIDO,08/04/2020,1285.00,1315.00,1275.00,1300.00,8643300.00,3667075584.00,-5459706368.00,11224864768.00
SILO,08/04/2020,4650.00,4670.00,4640.00,4650.00,27900.00,20109000.00,44269000.00,129917000.00
SIMA,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
SIMP,08/04/2020,306.00,312.00,298.00,312.00,18548700.00,695929024.00,-74453200.00,5661022720.00
SINI,08/04/2020,510.00,510.00,460.00,476.00,5100.00,688200.00,0.00,2360200.00
SIPD,08/04/2020,1040.00,1040.00,970.00,970.00,105000.00,-91802000.00,0.00,102202000.00
SKBM,08/04/2020,262.00,348.00,262.00,348.00,1100.00,314800.00,0.00,314800.00
SKLT,08/04/2020,1610.00,1610.00,1610.00,1610.00,1100.00,1771000.00,0.00,1771000.00
SKRN,08/04/2020,605.00,605.00,600.00,600.00,461500.00,-257584496.00,0.00,277671488.00
SKYB,08/04/2020,51.00,51.00,51.00,51.00,0.00,0.00,0.00,0.00
SLIS,08/04/2020,5175.00,5350.00,5150.00,5200.00,205900.00,518837504.00,-187500.00,1072372480.00
SMAR,08/04/2020,3050.00,3230.00,3050.00,3210.00,12200.00,5087000.00,0.00,38607000.00
SMBR,08/04/2020,462.00,484.00,450.00,470.00,28176500.00,-2750857984.00,263800400.00,13251294208.00
SMCB,08/04/2020,1020.00,1035.00,1015.00,1020.00,97200.00,-62272000.00,0.00,99577000.00
SMDM,08/04/2020,91.00,93.00,91.00,93.00,2100.00,174900.00,0.00,193100.00
SMDR,08/04/2020,222.00,246.00,222.00,244.00,2118500.00,75877400.00,-48800000.00,508544992.00
SMGR,08/04/2020,9100.00,9350.00,9050.00,9200.00,2420500.00,5199960064.00,-4554364928.00,22255640576.00
SMinfra18,08/04/2020,242.91,247.46,242.78,246.98,1254821632.00,957351788544.00,-255013240832.00,2914248818688.00
SMKL,08/04/2020,179.00,179.00,177.00,177.00,155100.00,-25797300.00,0.00,27602700.00
SMMA,08/04/2020,16975.00,16975.00,16975.00,16975.00,0.00,0.00,0.00,0.00
SMMT,08/04/2020,82.00,82.00,76.00,77.00,117300.00,-2398900.00,0.00,9182900.00
SMRA,08/04/2020,560.00,575.00,530.00,550.00,120902000.00,310045504.00,-25300160512.00,66322575360.00
SMRU,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
SMSM,08/04/2020,1270.00,1315.00,1255.00,1270.00,4337900.00,2335063040.00,-4399000.00,5572696064.00
SOBI,06/22/2017,1700.00,1700.00,1700.00,1700.00,0.00,0.00,0.00,0.00
SOCI,08/04/2020,114.00,118.00,113.00,117.00,8155200.00,128299104.00,0.00,943205120.00
SOFA,08/04/2020,64.00,74.00,64.00,73.00,2289100.00,50601100.00,0.00,164497504.00
SONA,08/04/2020,6000.00,6000.00,6000.00,6000.00,0.00,0.00,0.00,0.00
SOSS,08/04/2020,430.00,430.00,382.00,382.00,270700.00,-21994200.00,0.00,106061400.00
SOTS,08/04/2020,220.00,220.00,200.00,202.00,1400.00,239600.00,0.00,283600.00
SPMA,08/04/2020,242.00,246.00,242.00,244.00,20000.00,-1154800.00,0.00,4854800.00
SPTO,08/04/2020,468.00,468.00,450.00,450.00,175600.00,37491000.00,-65437400.00,79371400.00
SQMI,08/04/2020,190.00,197.00,186.00,192.00,8210900.00,105773200.00,0.00,1575481856.00
SRAJ,08/04/2020,148.00,148.00,148.00,148.00,100.00,14800.00,0.00,14800.00
SRI-KEHATI,08/04/2020,314.67,319.23,314.77,319.23,1019099072.00,1010027921408.00,13429380096.00,3563831164928.00
SRIL,08/04/2020,186.00,190.00,185.00,188.00,11766400.00,-144224000.00,-194703904.00,2208244736.00
SRSN,08/04/2020,58.00,60.00,58.00,60.00,2639500.00,-105029904.00,0.00,155787104.00
SRTG,08/04/2020,2780.00,2780.00,2730.00,2760.00,4000.00,-483000.00,0.00,10983000.00
SSIA,08/04/2020,352.00,354.00,342.00,350.00,14728300.00,67438200.00,-354152384.00,5163042816.00
SSMS,08/04/2020,795.00,800.00,780.00,795.00,744200.00,-93737000.00,-229952000.00,586123008.00
SSTM,08/04/2020,620.00,620.00,620.00,620.00,400.00,-248000.00,0.00,248000.00
STAR,08/04/2020,139.00,139.00,125.00,135.00,400.00,25600.00,0.00,53400.00
STTP,08/04/2020,7925.00,7925.00,7925.00,7925.00,0.00,0.00,0.00,0.00
SUGI,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
SULI,08/04/2020,50.00,50.00,50.00,50.00,200.00,10000.00,-10000.00,10000.00
SUPR,08/04/2020,4650.00,4650.00,4650.00,4650.00,0.00,0.00,0.00,0.00
SURE,08/04/2020,2890.00,2890.00,2880.00,2880.00,300.00,-866000.00,0.00,866000.00
SWAT,08/04/2020,95.00,95.00,89.00,90.00,2627600.00,-36910900.00,0.00,239209104.00
TALF,08/04/2020,220.00,220.00,220.00,220.00,13100.00,-2838000.00,0.00,2882000.00
TAMA,08/04/2020,153.00,162.00,153.00,162.00,1900.00,-259200.00,0.00,291600.00
TAMU,08/04/2020,54.00,57.00,52.00,53.00,1270600.00,6516600.00,3267300.00,67632200.00
TARA,08/04/2020,67.00,67.00,67.00,67.00,46000.00,3082000.00,-3082000.00,3082000.00
TAXI,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
TBIG,08/04/2020,1260.00,1295.00,1255.00,1285.00,51319300.00,11778376704.00,3537526016.00,65862541312.00
TBLA,08/04/2020,745.00,755.00,720.00,745.00,4146200.00,-255191504.00,-140261504.00,3072907520.00
TBMS,08/04/2020,600.00,620.00,600.00,620.00,3200.00,-1433000.00,0.00,1927000.00
TCID,08/04/2020,6725.00,6725.00,6725.00,6725.00,100.00,-672500.00,0.00,672500.00
TCPI,08/04/2020,3860.00,4020.00,3830.00,4010.00,13521700.00,19508598784.00,1779485952.00,52362371072.00
TDPM,08/04/2020,88.00,91.00,87.00,89.00,2859300.00,-189980608.00,0.00,253290400.00
TEBE,08/04/2020,1400.00,1400.00,1400.00,1400.00,0.00,0.00,0.00,0.00
TECH,08/04/2020,125.00,125.00,117.00,124.00,2131900.00,20214200.00,0.00,258728400.00
TELE,08/04/2020,121.00,121.00,121.00,121.00,0.00,0.00,0.00,0.00
TFAS,08/04/2020,160.00,170.00,157.00,170.00,26700.00,-4073600.00,0.00,4272400.00
TFCO,08/04/2020,300.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00
TGKA,08/04/2020,7275.00,7500.00,7275.00,7500.00,400.00,1522500.00,0.00,2977500.00
TGRA,08/04/2020,64.00,67.00,64.00,65.00,830300.00,-26627600.00,-14242400.00,54174400.00
TIFA,08/04/2020,404.00,420.00,398.00,402.00,45700.00,-17083000.00,8040000.00,18301000.00
TINS,08/04/2020,735.00,750.00,725.00,730.00,14636300.00,-2032546048.00,832848000.00,10781177856.00
TIRA,08/04/2020,266.00,266.00,266.00,266.00,100.00,26600.00,0.00,26600.00
TIRT,08/04/2020,52.00,52.00,52.00,52.00,100.00,5200.00,0.00,5200.00
TKGA,11/15/2017,1800.00,1800.00,1800.00,1800.00,0.00,0.00,0.00,0.00
TKIM,08/04/2020,6350.00,6650.00,6225.00,6600.00,19298200.00,26643447808.00,1419239936.00,124915564544.00
TLKM,08/04/2020,2970.00,2970.00,2920.00,2950.00,96018000.00,30832717824.00,-31577192448.00,282968260608.00
TMAS,08/04/2020,106.00,126.00,102.00,106.00,21292100.00,-232596096.00,0.00,2496269824.00
TMPI,11/08/2019,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
TMPO,08/04/2020,122.00,123.00,122.00,123.00,19600.00,-2386300.00,0.00,2410700.00
TNCA,08/04/2020,182.00,214.00,182.00,202.00,1200.00,45600.00,0.00,247600.00
TOBA,08/04/2020,342.00,348.00,342.00,348.00,121400.00,42194200.00,0.00,42194200.00
TOPS,08/04/2020,50.00,50.00,50.00,50.00,800.00,40000.00,0.00,40000.00
TOTL,08/04/2020,284.00,288.00,278.00,286.00,3895400.00,-46821400.00,-133460000.00,1100662144.00
TOTO,08/04/2020,216.00,216.00,202.00,214.00,68900.00,-2565600.00,0.00,14350400.00
TOWR,08/04/2020,1130.00,1170.00,1120.00,1160.00,358096896.00,72226488320.00,-26844884992.00,409244631040.00
TPIA,08/04/2020,7375.00,7625.00,7325.00,7375.00,4490500.00,2202494976.00,2465864960.00,33132974080.00
TPMA,08/04/2020,364.00,366.00,350.00,356.00,56000.00,-11476600.00,0.00,19789800.00
TRADE,08/04/2020,608.53,612.99,606.68,611.01,2142965248.00,330290102272.00,-58956558336.00,1077452406784.00
TRAM,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
TRIL,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
TRIM,08/04/2020,117.00,117.00,112.00,114.00,6700.00,-763900.00,0.00,763900.00
TRIN,08/04/2020,244.00,246.00,232.00,234.00,15688500.00,1591588864.00,-440800.00,3687325952.00
TRIO,08/04/2020,426.00,426.00,426.00,426.00,0.00,0.00,0.00,0.00
TRIS,08/04/2020,218.00,218.00,192.00,200.00,19900.00,-1011800.00,0.00,3914200.00
TRST,08/04/2020,390.00,390.00,390.00,390.00,0.00,0.00,0.00,0.00
TRUK,08/04/2020,113.00,114.00,112.00,114.00,573100.00,9581500.00,0.00,64443100.00
TRUS,08/04/2020,298.00,316.00,296.00,300.00,7100.00,1404000.00,0.00,2119600.00
TSPC,08/04/2020,1345.00,1375.00,1315.00,1360.00,131100.00,-653500.00,6252500.00,176982496.00
TUGU,08/04/2020,2690.00,2730.00,2690.00,2730.00,2200.00,5934000.00,1092000.00,5934000.00
TURI,08/04/2020,1380.00,1400.00,1375.00,1400.00,250100.00,346862496.00,0.00,347137504.00
UANG,08/04/2020,444.00,462.00,412.00,412.00,1255000.00,110383800.00,0.00,538641408.00
UCID,08/04/2020,1500.00,1530.00,1470.00,1480.00,52700.00,-47494000.00,1406000.00,78062000.00
ULTJ,08/04/2020,1600.00,1625.00,1575.00,1600.00,922200.00,110288496.00,-348001504.00,1483326464.00
UNIC,08/04/2020,3800.00,3800.00,3780.00,3800.00,4500.00,17090000.00,0.00,17090000.00
UNIT,08/04/2020,150.00,150.00,150.00,150.00,900.00,-135000.00,0.00,135000.00
